keyword,intent_stage,audience,est_cpc_eur,search_volume_rs,priority,notes,as_of
study in cyprus,awareness,Serbian HS seniors exploring EU study,0.95,1600,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
studije na kipru,awareness,Maturanti iz Beograda koji žele EU studije,0.62,720,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
study in cyprus english programs,consideration,Parents comparing English-taught options,1.05,390,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
study in cyprus for serbian students,consideration,Families in Novi Sad researching visas,1.08,210,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
study in greece,awareness,Serbian HS juniors considering Mediterranean study,0.88,1300,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
studije u grckoj,awareness,Gimnazija seniors evaluating Greece,0.74,880,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
study in greece english bachelors,consideration,Students seeking English curricula in Athens,1.12,260,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic nicosia undergraduate,decision,Applicants comparing UNIC vs EU rivals,1.35,170,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic athens degrees,consideration,Students preferring Athens campus,1.18,150,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
erasmus study in cyprus,awareness,Serbian undergrads planning mobility,0.66,320,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
cyprus university for serbian students,consideration,Belgrade agency leads evaluating fit,1.02,140,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
greece international university tuition,consideration,Parents benchmarking costs,0.97,110,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic nicosia application,decision,Applicants ready to submit,1.42,90,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic athens apply,decision,Athens-focused prospects,1.25,80,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
study in cyprus business degree,consideration,Business-track students seeking Cyprus,0.91,120,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
study medicine in cyprus,consideration,Pre-med students targeting Cyprus,1.55,590,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
medicina kipar studije,consideration,Serbian pre-med families,1.22,260,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
study medicine in greece,consideration,Students comparing Balkan MD options,1.48,420,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
medicina grcka upis,consideration,Families tracking Greek admissions,1.15,230,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
european md program cost,consideration,Price-sensitive MD seekers,1.38,190,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
md abroad for serbian students,consideration,Students researching EU alternatives,1.44,170,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic nicosia medical school,decision,Applicants evaluating UNIC MD,1.62,210,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic nicosia medicine tuition,decision,Parents budgeting MD,1.58,160,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic nicosia md application deadline,decision,Late-stage applicants,1.50,90,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic nicosia clinical rotations,consideration,Students comparing clinical exposure,1.36,80,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
english medical school europe,awareness,Students searching EU English MD,1.40,540,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
medicina na engleskom evropa,awareness,Serbian bilingual students,1.18,360,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
study medicine in europe english,consideration,Families comparing EU med,1.45,510,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
medicina u kipru stipendije,consideration,Price-sensitive med applicants,1.32,120,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
pre-med foundation cyprus,consideration,Students needing foundation year,1.10,70,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
study computer science in cyprus,consideration,Tech-focused HS seniors,1.08,310,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
informatika studije kipar,consideration,Serbian IT students,0.92,180,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
study computer science in greece,consideration,Students comparing Athens tech hubs,0.98,280,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
studije informatike u grckoj,consideration,Parents evaluating Greek CS,0.85,200,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
data science degree cyprus,consideration,STEM grads seeking data science,1.12,160,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
data science degree greece,consideration,Prospects comparing EU tech,1.05,150,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
cybersecurity degree cyprus,consideration,Cyber-focused applicants,1.14,140,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
ai masters greece,consideration,STEM grads seeking AI,1.18,130,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic nicosia computer science,decision,Applicants ready for CS,1.20,150,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic nicosia data science scholarship,decision,Data prospects needing aid,1.16,90,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic athens computer science,decision,Athens CS applicants,1.12,100,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
software engineering abroad english,awareness,Students exploring global CS,0.94,400,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
it bachelor cyprus english,consideration,IT applicants wanting English,1.02,170,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
msc artificial intelligence cyprus,consideration,Graduate prospects AI,1.15,120,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
blockchain degree unic,decision,Tech enthusiasts aware of UNIC,1.08,140,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
computer science scholarship greece,consideration,CS students chasing aid,1.06,110,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic cyber security program,decision,Cyber security applicants,1.18,95,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic scholarships serbia,consideration,Families seeking UNIC aid,1.05,210,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
stipendije unic kipar,consideration,Parents wanting scholarships,0.84,190,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
cyprus university tuition fees,consideration,Parents budgeting Cyprus,0.92,260,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
studije kipar cena,consideration,Price-sensitive families,0.88,240,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
greece university tuition english,consideration,Families benchmarking Greece,0.90,220,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
studije grcka cena,consideration,Serbian families comparing costs,0.86,210,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic nicosia payment plan,decision,Families planning finance,0.98,130,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic athens tuition,decision,Athens campus budgets,0.96,120,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic scholarships for balkan students,consideration,Agency leads across Balkans,1.02,150,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
europe study abroad scholarships serbia,awareness,Scholarship seekers,0.78,360,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
stipendije za studije u inostranstvu grcka,awareness,Parents from Serbia,0.75,320,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
medicine tuition cyprus,consideration,Parents budgeting MD,1.28,150,high,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
computer science scholarships cyprus,consideration,CS applicants needing funding,1.00,140,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
private university scholarships greece,consideration,Families seeking discounts,0.92,150,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
unic nicosia early payment discount,decision,Late-cycle enrollers,0.82,80,medium,"Google KW Planner proxy (Serbia), Dec 22 2025",2025-12-22
